Day,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
6/4/2021,Acts 15:5-34,John 10:17-28,,,,,
6/5/2021,Acts 15:35-41,John 10:27-38,,,,,
6/6/2021,Acts 16:16-34,John 9:1-38,,,,,
6/7/2021,Acts 17:1-15,John 11:47-57,,,,,
6/8/2021,Acts 17:19-28,John 12:19-36,,,,,
6/9/2021,Acts 18:22-28,John 12:36-47,,,,,
6/10/2021,Acts 1:1-12,Luke 24:36-53,,,,,
6/11/2021,"Acts 11:19-26, 29-30",Luke 10:16-21,,,,,
6/11/2021,Acts 19:1-8,John 14:1-11,,,,,
6/12/2021,Acts 20:7-12,John 14:10-21,,,,,
6/13/2021,"Acts 20:16-18, 28-36",John 17:1-13,,,,,
6/14/2021,Acts 21:8-14,John 14:27-15:7,,,,,
6/15/2021,Acts 21:26-32,John 16:2-13,,,,,
6/16/2021,Acts 23:1-11,John 16:15-23,,,,,
6/17/2021,Acts 25:13-19,John 16:23-33,,,,,
6/18/2021,Acts 27:1-44,John 17:18-26,,,,,
6/19/2021,Jude 1:1-10,John 14:21-24,,,,,
6/19/2021,1 Thessalonians 4:13-17,John 5:24-30,,,,,
6/19/2021,1 Corinthians 15:47-57,John 6:35-39,,,,,
6/19/2021,Acts 28:1-31,John 21:15-25,,,,,
6/20/2021,Acts 2:1-11,"John 7:37-52, 8:12",,,,,
6/21/2021,Ephesians 5:9-19,Matthew 18:10-20,,,,,
6/22/2021,"Romans 1:1-7, 13-17",Matthew 4:25-5:13,,,,,
6/23/2021,Romans 1:18-27,Matthew 5:20-26,,,,,
6/24/2021,Romans 13:11-14:4,"Luke 1:1-25, 57-68, 76, 80",,,,,
6/24/2021,Romans 1:28-2:9,Matthew 5:27-32,,,,,
6/25/2021,Romans 2:14-29,Matthew 5:33-41,,,,,
6/26/2021,Romans 1:7-12,Matthew 5:42-48,,,,,
6/27/2021,Hebrews 11:33-12:2,"Matthew 10:32-33, 37-38, 19:27-30",,,,,
6/28/2021,Romans 2:28-3:18,"Matthew 6:31-34, 7:9-11",,,,,
6/29/2021,2 Corinthians 11:21-12:9,Matthew 16:13-19,,,,,
6/29/2021,Romans 4:4-12,Matthew 7:15-21,,,,,
6/30/2021,1 Corinthians 4:9-16,Mark 3:13-19,,,,,
6/30/2021,Romans 4:13-25,Matthew 7:21-23,,,,,
